epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,139.116,1.02221,0.65919,1.16082,0.65854,0.62859,0.66506,0.37827,1.75369,1.44863,1.74417,0.000614,0.000614,0.000614
72,140.985,1.05475,0.7074,1.19718,0.85861,0.52593,0.67547,0.38191,1.71643,1.45586,1.71772,0.0005942,0.0005942,0.0005942
73,142.845,1.04301,0.68057,1.16956,0.6908,0.57037,0.63302,0.36405,1.69085,1.59418,1.7315,0.0005744,0.0005744,0.0005744
74,144.834,0.9982,0.66418,1.14783,0.71766,0.54603,0.61781,0.35702,1.69359,1.57311,1.78677,0.0005546,0.0005546,0.0005546
75,146.833,0.96133,0.61946,1.1325,0.69566,0.6,0.64427,0.36227,1.65487,1.47393,1.73102,0.0005348,0.0005348,0.0005348
76,148.722,0.99535,0.6378,1.14081,0.80205,0.59259,0.68907,0.3775,1.71494,1.39362,1.74309,0.000515,0.000515,0.000515
77,150.599,0.965,0.62321,1.13154,0.73406,0.58519,0.66518,0.36776,1.70908,1.47036,1.70956,0.0004952,0.0004952,0.0004952
78,152.495,0.98714,0.62432,1.13509,0.72551,0.57778,0.65061,0.36374,1.73628,1.47716,1.73997,0.0004754,0.0004754,0.0004754
79,154.395,0.96327,0.61715,1.13475,0.76835,0.55556,0.67051,0.3811,1.73261,1.46535,1.72137,0.0004556,0.0004556,0.0004556
80,156.324,0.96639,0.63844,1.13127,0.76669,0.63704,0.70325,0.3861,1.76596,1.48553,1.73109,0.0004358,0.0004358,0.0004358
81,158.243,0.97707,0.62048,1.1291,0.74791,0.62222,0.69154,0.37872,1.76063,1.45507,1.72437,0.000416,0.000416,0.000416
82,160.161,0.97503,0.61001,1.13856,0.70179,0.59268,0.66706,0.37411,1.74328,1.47184,1.71571,0.0003962,0.0003962,0.0003962
83,162.193,0.97363,0.60774,1.13449,0.71522,0.58519,0.67942,0.38906,1.70781,1.52206,1.69351,0.0003764,0.0003764,0.0003764
84,164.202,0.94474,0.62072,1.12712,0.68443,0.62657,0.68533,0.39048,1.69916,1.47944,1.70927,0.0003566,0.0003566,0.0003566
85,166.164,0.90962,0.5718,1.10208,0.77696,0.60741,0.6937,0.37648,1.73952,1.4537,1.7304,0.0003368,0.0003368,0.0003368
86,168.074,0.93638,0.61389,1.10903,0.74428,0.6,0.67884,0.37528,1.75072,1.44858,1.71761,0.000317,0.000317,0.000317
87,169.974,0.92633,0.60407,1.10248,0.77768,0.60741,0.68219,0.37751,1.7382,1.36652,1.75665,0.0002972,0.0002972,0.0002972
